Post,Type
"Introducing #Insecure #Comparison in #javascript  #Lab/#ctf. CTF written in #Node #Expressjs module.
Feel free to exploit it. And let me know!
https://github.com/Dheerajmadhukar/Insecure-Comparison-Lab_me_dheeraj
#bugbounty #bugbountytip #CTfreaks #challenge ",1
"I want to have a thread here for highly recomeneded, Free, browser based #infosec tools (ie, 
@virustotal ). 

How does this happen twitter? ",1
"The GOSST (Google Open Source Security Team) is hiring in Sydney! We're looking for engineers with experience/interest in open source and security.
https://careers.google.com/jobs/results/98592217829909190-information-security-engineer-open-source-security-team/",0
"Want to learn all about our new @RedHat OpenShift Streams for Apache Kafka service? Sign up for our workshop tomorrow. Seats are limited, so grab one while they're still available: hopin.com",1
"Thrilled to share my article ""Saga Orchestration for #Microservices Using the Outbox Pattern"" is up on 
@InfoQ! 

Discussing how to implement Sagas safe and reliably using change data capture and #Debezium, with services connected via #ApacheKafka.

https://infoq.com/articles/saga-orchestration-outbox/",1
xyz was the worst leader that we ever had.,2
"#JEE (Main) Exam has been breached. Students appearing for such competitive exams prepare very hard, battling difficulties of various kinds. 

We, as a nation, owe them a fair exam. 

GOI is better at providing cover-ups.",2
All systems and weather are looking good for today’s Falcon 9 launch of Dragon’s first all-civilian spaceflight. Webcast will go live ~4 hours before liftoff http://spacex.com/launches,2
"Koei Tecmo has released a new trailer for Attack on Titan 2: Final Battle, introducing new elements in the expansion. https://rpgsite.net/news/8516-attack-on-titan-2-final-battle-trailers-shows-new-features",2
"7 leadership and #tech conferences to consider this fall
https://buff.ly/2VRTlz2",1
"Got my lovely GitHub Field Day Swag Box. Thank you 
@GHFieldDayIndia
 for the  surprise. #github #community",2
"Want to learn more about Windows and Linux privilege escalation?

Check out this playlist of videos!

https://t.co/R5R25kClH8?amp=1 ",1
"Hi everyone, here is my first writeup about a reflected XSS which I escalated to achieve Account Takeover. 

I hope you all like it, enjoy reading!! 
#bugbounty #bugbountytips #infosec #hackerone #bugcrowd #synack",1
"Anything and everything I know about data visualization is thanks to these books. Folded handsBooks 

That said, for budget or time constraints, if you were looking for only one book to read, I’d personally recommend Claus Wilke’s book (https://clauswilke.com/dataviz/)!",1
10+ npm commands that every web developer should know: https://twitter.com/hassibmoddasser/status/1438216603947126789/photo/1,1
"10 Efficient Code and Optimization techniques for Python with Code Implementation.
A thread ThreadDown pointing backhand index
#Python #TensorFlow #DataScientist #Programming #Coding #100DaysofCode #DataScience #AI #MachineLearning",1
"Do you have experience with building and maintaining cloud native applications on Kubernetes and OpenShift, and would like a new challenge? If so the Keycloak team has an open position https://global-redhat.icims.com/jobs/88930/senior-software-engineer-application-services/job?hub=7 that you may be interested in!",0
"I’m looking for a senior engineer to work on our API. We work with healthcare data so a good understanding of security is crucial. We’re building microservices in Scala, so JVM  https://t.co/32Koz4tbYP?amp=1experience is great.
",0
"Outreachy Internship Open Source applications are open now: https://outreachy.org 

Perks:
Paid - $6,000 USD total internship stipend
Remote - both interns and mentors work remotely
3 months - internships run May to August, or December to March",0
"A thread on the complexities of conflict that continue in Afghanistan villages and networks long after Foreign involvement. This story starts years ago with a US special forces commander and his unorthodox connections with tribes and villages in rural Kunar, Khas KUNAR district.",2
"Happy Birthday, abc",2
"#HackTheBox Unobtainium video is online.  A really fun box with exploiting electron, nodejs, and k8 trusts.  My favorite part about doing this box was talking with 
@0xdf_
 after and finding out how much our styles of accomplishing the same thing differed. https://t.co/DK9r5QUmQ3?amp=1",1
"Apple Information Security has an opening on our Applied Research team. Come help us discover tomorrow’s security risks - details here https://t.co/13w5IFTsEC?amp=1
",0
"We're looking for a part-time Content Marketer to join our team! 

If the following describes you, apply 

Experience in the tech industry
Enjoy writing security-related content
Basic SEO and SEM knowledge
Keep up-to-date with cyber trends
https://t.co/2822A5K40A?amp=1",0
"The SDLC describes the five stages of application development: the requirements phase, the design phase, the coding phase, the testing phase, and the release phase. Let's take a look at how you can secure your application in these five stages. https://t.co/GZeNFbUdc8?amp=1",1
"Hello Warriors, The time has come to Capture The Flag 
Tamil CTF 2021 is happening in 10 Days
with Exciting Prizes from HackTheBox, Rootme, Burp Bounty and Infosec House.
Register now: http://ctf.tamilctf.com",1
"College students! Register now for @HackMIT's annual hackathon taking place September 18-19. 
https://twitter.com/HackMIT/status/1413657272555823106/photo/1
 ",1
I just published Automation with Ansible https://t.co/foNP8IzWif?amp=1,1
"I am hiring a Research Scientist to work at the intersection between causal inference and machine learning!  #deepmind 

Please apply for the 
@DeepMind
 Research Scientist London position expressing your interest in working with me https://t.co/5W3EHUpoz4?amp=1",0
Doctor combatting myths about Covid vaccines on TikTok calls for trainee medics to be given social media lessons within their degrees https://t.co/m7fzjUyLAs?amp=1,2
"""Australia, the UK, and the US will become inseparable partners in a project that will last for decades""

PM Boris Johnson announces historic security pact in the Asia-Pacific, which will see Australia build nuclear-powered submarines, using US technology

https://bbc.in/3ltboUL",2
"New malware uses Windows Subsystem for Linux for stealthy attacks - 
@Ionut_Ilascu
 https://t.co/nfixEIvLD5?amp=1",1
"Join 
@mvkaran
 tomorrow as he dives deep into Codespaces and how teams can make use of it for collaborative development Personal computer 

Limited spots available. Register Soon with rightwards arrow above  http://githubindia.com/workshops",1
"Take your ML skills to the next level with over 100 Keras code examples! Hundred points symbol

These workflows cover computer vision, natural language processing, and more! All created by the #Keras community.

Check it out → http://keras.io/examples",1
"Terra is a programmable money for the internet that is easier to spend, and more attractive to hold.

Now hiring in Seoul and remote for the following role!

⚡ Full-Stack/Back-end Engineer

Apply now https://cryptocurrencyjobs.co/engineering/terra-full-stack-back-end-engineer/",0
"This month’s Cook-Off is almost here: https://codechef.com/COOK133?utm_source=twitter&utm_medium=organic_social&utm_campaign=SeptCook&utm_content=post&utm_term=17-09, and it’s your chance to rank up & improve your skillset. So make sure to participate in the challenge on September 19th, 9:30 PM - 12:30 AM.

#coding #programming #contest #CodeChef",1
"My notes for getting into Blockchain Security, a thread ",1
"An AWESOME Thread ON OSCP...⤵
#cybersecurity #infosec  #oscp ",1
"List of Linux tools every Bug Bounty Hunter should learn:

curl , sed, grep, jq, cut, find, xargs, dig, ssh, awk and vim or nano.",1
"Dreamforce 2021 kicks off on September 21 with a roster of all-star speakers and inspiring business professionals. Red heart this tweet to keep up with all the action #DF21
https://www.salesforce.com/dreamforce/
",1
"ICYMI We're looking for a couple of Rust developers. Full time, fully remote, fully awesome.

Web, APIs, Serverless, CLI, WASM. Not crypto! 😝weworkremotely.com/listings/ocr-l...

Get in touch!#remotework #remotejobs #rust #rustlang",0
